Informazioni cronologiche,ID,(Sperimentatore) Esperimento:,Il robot dialoga come un reale terapista umano,Il robot sembra esprimere emozioni come noi umani,Il robot ha atteggiamenti che mi aspetterei da un reale terapista umano,"Il robot assume comportamenti credibili, naturali e poco artificiali",Il robot risponde in maniera intelligente,Adam mi ha fatto sentire sempre a mio agio,Dialogare con Adam è molto intuitivo e semplice ,Interagire con un Robot terapista è stata un' esperienza piacevole,"L'interazione con Adam mi ha dato un livello soddisfacente di supporto, paragonabile a un terapista umano",Raccomanderei Adam ad un amico come supporto ad un terapeuta umano o in contesti dove non fosse possibile avere un terapista umano,Adam è stato sempre interessante durante la conversazione,Mi sono sentito completamente immerso durante la conversazione con Adam,Dialogherei di nuovo con Adam in futuro,Mi sono sentito molto connesso con il robot durante la conversazione,Sono stato attento durante tutta la conversazione con Adam,"Che cosa rende Adam simile ad un terapista umano? Cosa invece possiamo migliorare (es. voce, gesti, aspetto, linguaggio) per farlo sembrare ancora più simile?",Cosa ti ha soddisfatto di più durante l'interazione con Adam? Come possiamo migliorare la sua usabilità e rendere l'interazione ancora più piacevole?,"Cosa ti ha mantenuto coinvolto nella conversazione con Adam? Cosa credi potrebbe fare, ad esempio, attraverso movimenti, voce o altre modalità, per catturare ancora di più la tua attenzione?",Età
31/08/2025 16.18.22,06,Full,5,4,4,3,5,5,5,5,3,2,5,5,5,4,5,,,,26
31/08/2025 16.29.41,06,Minimal,3,3,3,4,5,5,5,5,2,2,5,5,5,4,5,non ho affrontato la conversazione da un punto di vista terapistco quindi non saprei però il tempo con lui passa molto velocemente ed è molto intelligente ,la sua capacià di creare storie e i dettagli che inserivo se li ricordava tutti ,"La possibilità di poter scegliere la voce rispetto ad una ""robotica""",26
31/08/2025 16.50.00,07,Minimal,4,3,4,4,5,5,5,5,5,5,5,4,5,4,4,,,,27
31/08/2025 17.07.17,07,Full,5,1,4,4,5,5,5,5,4,5,5,5,5,5,5,"migliorerei la voce e i gesti, aumenterei leggeremente la velocità di lettura","mi è piaciuta la facilità e immediatezza di utilizzo, forse integrerei la possibiltà di fargli creare immagini relative all'argomento se richieste dall'utente","mi ha coinvolto il fatto che mi guidasse attraverso la conversazione, non mi sono sentito lasciato a me stesso, per renderlo più simile ad un umano lo animerei facendolo scrivere come un vero terapista",27
31/08/2025 17.26.32,05,Minimal,4,5,4,4,5,5,5,5,5,4,5,5,5,5,5,,,,26
31/08/2025 17.45.21,05,Full,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,"è simile perchè ti ascolta e comprende ed è un buon supporto in generale anche quando si ha bisogno di parlare con una persona esterna alle proprie conocenze. Si possono migliorare le sue rispsote a volte un po' lunghe, quindi magari più 'dirette'.","Sono rimasta colpita dal modo in cui capiva quello che dicevo ed esprimevo, mettendo a proprio agio e dando anche suggerimenti",Come detto prima mi ha mantenuta coinvolta proprio perchè mi capiva ed è interessato cose che erano importanti per me e poter parlare liberamente senza essere 'giudicati'. Per catturare l'attenzione potrebbe integrare con delle foto dell'argomento di cui si parla.,26
31/08/2025 18.05.41,04,Full,4,5,5,3,5,5,5,5,3,3,5,5,4,4,5,,,,28
31/08/2025 18.17.40,04,Minimal,3,4,4,5,5,5,5,5,3,4,5,5,5,5,5,il modo di porre domande all'interlocutore e cercare di coinvolgerlo nel creare una storia. possiamo migliorare la prosodia del linguaggio e cercare di sintetizzare le risposte di Adam,l'empatia che provava mentre rispondeva alla conversazione,"la voce e gli argomenti, cercava sempre di coinvolgermi nel dialogo, potrebbe catturare l'attenzione migliorando la voce e i movimenti gestuali",28
31/08/2025 18.39.39,09,Minimal,3,3,4,3,3,3,4,4,2,4,4,4,4,3,5,,,,29
31/08/2025 18.56.09,09,Full,3,3,3,3,4,4,4,4,3,5,4,4,4,4,4,Aspetto e cercare di avere maggiore empatia,interagisce molto. Suggerirei di inserire più frasi che aiutino a te a capire e definire il tuo profilo.,Movimenti e voce sono fondamentali,29
31/08/2025 19.14.48,08,Full,4,4,4,4,4,5,5,5,4,5,5,5,5,5,5,,,,27
31/08/2025 19.34.06,08,Minimal,4,3,3,3,4,5,5,5,5,5,5,5,5,5,5,Adam sembra percepire le tue emozioni e questo lo rende simile ad un terapista umano. Per renderlo ancora più simile si potrebbe migliorare la voce e la fluidità del linguaggio,L'interazione potrebbe essere più piacevole se ci si potesse interfacciare direttamente e nella realtà,"La conversazione è stata mantenuta viva dalle domande di Adam e si potrebbero migliorare i movimenti e la voce, alf ine di farla sembrare più umana",27
31/08/2025 19.53.03,03,Minimal,4,4,5,4,5,5,5,5,4,5,5,4,5,5,5,,,,25
31/08/2025 20.17.41,03,Full,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,"sa metterti a proprio agio, si interessa di quello che fai o che ti piaca fare e cerca di capire cosa c'è sotto nelle cose che racconti e questo aiuta a confidarti facilmente, non ti giudica ma ti ascolta. l'unica cosa che migliorerei sono i gesti.",mi ha soddisfatto l'immaginazione che usa per creare le storie. Sinceramente non credo ci sia nulla cambiare.,"credo che potrebbe muoversi di più quando parla. La modalità della voce è ottima mette tranquillità e insieme all'immaginazione e all'ascolto delle cose che dicevo o scrivevo, mi hanno mantenuto coinvolta nella conversazione ",25
31/08/2025 20.41.54,02,Full,4,5,5,3,5,5,5,5,3,4,5,4,3,4,4,,,,27
31/08/2025 20.55.28,02,Minimal,4,3,3,3,5,5,5,4,3,3,5,5,3,3,4,"è molto confortevole parlare con lui, trasmette tranquillità anche se alcuni gesti risultano inappropianti e buffi","mi è piaciuto il modo in cui ha condotto la conversazione, anche se la costruzione della storia ha preso una piega che non rispettava i presupposti iniziali","la presenza della voce rendeva la conversazione più interessante e coinvolgente. i gesti sono da rivedere, anche perchè distraevano essendo non proprio adatti a quello che diceva",27
31/08/2025 21.17.58,01,Minimal,3,2,2,2,4,4,5,4,1,2,4,3,4,2,5,,,,26
31/08/2025 21.53.05,01,Full,2,2,2,1,4,3,5,3,2,2,4,3,4,2,5,Il linguaggio è molto meccanico e ripetivito. Andrebbe migliorata la fluidità lessicale e la grammatica. Inoltre si dovrebbe cercare di rendere più speciale e intima la conversazione senza mantenere un approccio impersonale ad esempio chiamando sempre con il nome a quasi ogni interazione.,Mi piace molto il modo in cui spazia e propone cose da fare. Tuttavia tende a cambiare troppo spesso l'argomento. E' troppo sensibile ai movimenti facciali portandolo a credere che la persona non sia interessata all'argomento attuale e dunque devia su altro...,bisogna migliorare la velocità e la fluidità quanto possibile dei movimenti e della voce sincronizzandoli. Potrebbe essere interessante fargli calare la testa mentre la persona sta parlando con lui o effettuare più gesti di apprensione... qualcosa che tenga viva l'attenzione su di lui anche quando il paziente gli sta parlando.,26
